CIN,COMPANY_NAME,REGISTERED_OFFICE_ADDRESS,CITY,STATE,DATE_OF_REGISTRATION,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,COMPANY_STATUS
U46681292013PTC467677,Everest Chemicals Pvt Ltd,"Plot 315, Colony, Bengaluru, KA",Bengaluru,KA,2013-10-08,10000000,5065736,Active
U94233242011PTC927626,Vishal Plastics Private Limited,"Plot 323, Colony, Ahmedabad, GJ",Ahmedabad,GJ,2011-01-13,10000000,5513784,Active
U51795292005PTC626122,Global Textiles Ventures Pvt Ltd,"Plot 399, Sector, Bengaluru, KA",Bengaluru,KA,2005-01-26,2500000,1676506,Active
U85457272012PTC887625,Vishal Agro Enterprises Pvt Ltd,"Plot 89, MIDC, Mumbai, MH",Mumbai,MH,2012-04-19,1000000,864347,Active
U50508082022PTC184085,Vishwa Textiles Pvt Ltd,"Plot 29, MIDC, Jaipur, RJ",Jaipur,RJ,2022-10-08,100000,66851,Active
U96787072016PTC414813,Metro Traders Private Limited,"Plot 81, Road, Delhi, DL",Delhi,DL,2016-07-26,10000000,9724634,Active
U50215292017PTC769650,Balaji Infrastructure Private Limited,"Plot 91, Road, Bengaluru, KA",Bengaluru,KA,2017-01-23,5000000,2870604,Strike Off
U53406082009PTC781550,Royal Chemicals Exports Pvt Ltd,"Plot 46, Road, Jaipur, RJ",Jaipur,RJ,2009-11-21,10000000,9206574,Active
U16310072005PTC404685,Golden Foods Industries Pvt Ltd,"Plot 86, Estate, Delhi, DL",Delhi,DL,2005-08-13,1000000,682216,Active
U12631272014PTC334199,Prime Steel Pvt Ltd,"Plot 176, MIDC, Mumbai, MH",Mumbai,MH,2014-07-06,10000000,3525016,Dormant
U82628192018PTC757112,Orion Foods Trading Co Pvt Ltd,"Plot 136, Road, Kolkata, WB",Kolkata,WB,2018-05-10,500000,183570,Active
U48607242007PTC863919,Vardhman Constructions Trading Co Pvt Ltd,"Plot 246, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2007-02-01,500000,209791,Active
U21945082013PTC673046,Sagar Agro Private Limited,"Plot 190, Estate, Jaipur, RJ",Jaipur,RJ,2013-06-06,2500000,828079,Active
U82561092012PTC063947,Continental Agro Ventures Pvt Ltd,"Plot 268, Estate, Lucknow, UP",Lucknow,UP,2012-09-22,2500000,1752250,Active
U98805242023PTC650404,Bharat Steel Ventures Pvt Ltd,"Plot 230, MIDC, Surat, GJ",Surat,GJ,2023-03-07,500000,194165,Active
U21406272007PTC406952,Sagar Agro Trading Co Pvt Ltd,"Plot 167, Sector, Pune, MH",Pune,MH,2007-09-15,100000,85058,Active
U80206072014PTC922890,Elite Agro Enterprises Pvt Ltd,"Plot 197, Road, Delhi, DL",Delhi,DL,2014-08-19,5000000,3155663,Active
U16460272012PTC781976,Vishwa Infrastructure Enterprises Pvt Ltd,"Plot 11, Sector, Pune, MH",Pune,MH,2012-05-10,1000000,889992,Active
U45313082015PTC764202,Silver Electronics Exports Pvt Ltd,"Plot 46, MIDC, Jaipur, RJ",Jaipur,RJ,2015-08-07,2500000,2046653,Active
U78719242009PTC922048,Krishna Textiles Private Limited,"Plot 99, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2009-01-08,100000,61951,Dormant
U41711072005PTC390560,Vishwa Electronics Industries Pvt Ltd,"Plot 91, Estate, Delhi, DL",Delhi,DL,2005-10-18,1000000,540974,Active
U38091292023PTC898747,Global Constructions Private Limited,"Plot 347, MIDC, Bengaluru, KA",Bengaluru,KA,2023-05-21,2500000,1648242,Active
U89736192013PTC844194,Metro Foods Exports Pvt Ltd,"Plot 330, Sector, Kolkata, WB",Kolkata,WB,2013-07-13,1000000,621298,Active
U54077082007PTC289914,Saraswati Traders Ventures Pvt Ltd,"Plot 142, Sector, Jaipur, RJ",Jaipur,RJ,2007-11-23,10000000,5091537,Active
U84978272023PTC855654,Universal Traders Exports Pvt Ltd,"Plot 366, MIDC, Mumbai, MH",Mumbai,MH,2023-11-18,10000000,8494279,Dormant
U33995332022PTC992922,Vardhman Traders Exports Pvt Ltd,"Plot 46, MIDC, Chennai, TN",Chennai,TN,2022-06-08,10000000,9100025,Active
U99220242008PTC400210,Ganga Infrastructure Industries Pvt Ltd,"Plot 28, MIDC, Surat, GJ",Surat,GJ,2008-03-07,1000000,586434,Active
U93165292015PTC060832,Shree Pharma Enterprises Pvt Ltd,"Plot 108, MIDC, Bengaluru, KA",Bengaluru,KA,2015-10-25,500000,321351,Active
U60242242020PTC004896,Shri Plastics Private Limited,"Plot 375, Sector, Ahmedabad, GJ",Ahmedabad,GJ,2020-01-11,5000000,2167018,Active
U23462332009PTC402182,Ganga Electronics Enterprises Pvt Ltd,"Plot 86, Industrial Area, Chennai, TN",Chennai,TN,2009-01-10,1000000,619148,Active
U34697082016PTC172893,Orion Agro Pvt Ltd,"Plot 117, MIDC, Jaipur, RJ",Jaipur,RJ,2016-12-05,500000,406926,Active
U91675332022PTC050948,Laxmi Textiles Exports Pvt Ltd,"Plot 56, Road, Chennai, TN",Chennai,TN,2022-01-02,10000000,3810528,Active
U27978092024PTC439171,Continental Steel Trading Co Pvt Ltd,"Plot 369, Colony, Lucknow, UP",Lucknow,UP,2024-02-10,100000,84933,Active
U31020242014PTC041320,Sagar Pharma Private Limited,"Plot 353, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2014-06-08,100000,30892,Active
U23276242007PTC948730,Prime Constructions Private Limited,"Plot 234, Sector, Surat, GJ",Surat,GJ,2007-05-15,100000,36986,Active
U22451242008PTC892597,Shakti Textiles Pvt Ltd,"Plot 71, Road, Ahmedabad, GJ",Ahmedabad,GJ,2008-11-06,1000000,550269,Active
U62461072017PTC478716,Prime Agro Exports Pvt Ltd,"Plot 245, Estate, Delhi, DL",Delhi,DL,2017-11-26,500000,189569,Active
U98918082023PTC459448,Shakti Traders Trading Co Pvt Ltd,"Plot 15, Road, Jaipur, RJ",Jaipur,RJ,2023-12-05,2500000,2360696,Active
U85582272021PTC758932,Krishna Logistics Exports Pvt Ltd,"Plot 174, Colony, Mumbai, MH",Mumbai,MH,2021-09-23,10000000,7327673,Active
U17152242024PTC012211,Saraswati Chemicals Trading Co Pvt Ltd,"Plot 241, Estate, Surat, GJ",Surat,GJ,2024-03-03,2500000,1311109,Active
U20332242012PTC481396,Golden Electronics Industries Pvt Ltd,"Plot 46, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2012-08-11,100000,98646,Active
U89194272007PTC649138,Saraswati Infrastructure Trading Co Pvt Ltd,"Plot 288, MIDC, Mumbai, MH",Mumbai,MH,2007-11-22,2500000,2413121,Active
U72014092024PTC751471,Golden Steel Pvt Ltd,"Plot 389, Road, Lucknow, UP",Lucknow,UP,2024-04-01,1000000,548597,Active
U25826192011PTC975403,Pioneer Agro Private Limited,"Plot 235, MIDC, Kolkata, WB",Kolkata,WB,2011-12-11,100000,83000,Active
U76086082023PTC141177,Vishwa Textiles Trading Co Pvt Ltd,"Plot 377, Industrial Area, Jaipur, RJ",Jaipur,RJ,2023-09-14,5000000,3190261,Active
U76074092015PTC924205,Sunrise Agro Trading Co Pvt Ltd,"Plot 355, MIDC, Lucknow, UP",Lucknow,UP,2015-05-13,1000000,979344,Active
U82559242015PTC663312,Universal Logistics Private Limited,"Plot 320, Road, Surat, GJ",Surat,GJ,2015-05-22,1000000,944834,Active
U65363242014PTC847569,Shree Plastics Pvt Ltd,"Plot 13, Estate, Surat, GJ",Surat,GJ,2014-03-02,10000000,3396233,Active
U69322272016PTC107459,Laxmi Constructions Exports Pvt Ltd,"Plot 288, MIDC, Mumbai, MH",Mumbai,MH,2016-12-21,5000000,2861103,Active
U17051272022PTC013596,Aditya Infrastructure Private Limited,"Plot 318, Estate, Pune, MH",Pune,MH,2022-04-21,10000000,7966818,Active
U68827192014PTC186045,Vardhman Steel Private Limited,"Plot 89, Road, Kolkata, WB",Kolkata,WB,2014-09-04,2500000,821109,Active
U30290272019PTC041881,Bharat Traders Trading Co Pvt Ltd,"Plot 27, Road, Pune, MH",Pune,MH,2019-10-27,10000000,5108083,Active
U18936292021PTC824452,Ganga Chemicals Industries Pvt Ltd,"Plot 279, Colony, Bengaluru, KA",Bengaluru,KA,2021-07-03,1000000,454838,Active
U72240092021PTC588603,Continental Constructions Pvt Ltd,"Plot 59, Road, Lucknow, UP",Lucknow,UP,2021-06-15,500000,466573,Active
U43631072017PTC566480,Aditya Infrastructure Pvt Ltd,"Plot 265, Sector, Delhi, DL",Delhi,DL,2017-09-26,5000000,3059449,Active
U10960242022PTC657387,Om Logistics Exports Pvt Ltd,"Plot 323, MIDC, Surat, GJ",Surat,GJ,2022-11-14,100000,44390,Active
U19600272007PTC056905,National Infrastructure Trading Co Pvt Ltd,"Plot 37, Colony, Mumbai, MH",Mumbai,MH,2007-04-09,2500000,1429057,Active
U75907072016PTC111292,Metro Constructions Enterprises Pvt Ltd,"Plot 311, Industrial Area, Delhi, DL",Delhi,DL,2016-05-25,2500000,1417473,Active
U82551272005PTC917260,Sagar Chemicals Pvt Ltd,"Plot 22, Industrial Area, Pune, MH",Pune,MH,2005-10-20,2500000,1690016,Dormant
U31096242009PTC192931,Global Electronics Ventures Pvt Ltd,"Plot 130, MIDC, Surat, GJ",Surat,GJ,2009-02-06,10000000,8597620,Active
U35875332008PTC760836,Krishna Pharma Enterprises Pvt Ltd,"Plot 183, MIDC, Chennai, TN",Chennai,TN,2008-11-21,500000,185015,Active
U57774092023PTC846935,Royal Agro Private Limited,"Plot 3, Sector, Lucknow, UP",Lucknow,UP,2023-04-26,500000,399269,Active
U68373082019PTC376168,Shakti Infrastructure Industries Pvt Ltd,"Plot 283, Industrial Area, Jaipur, RJ",Jaipur,RJ,2019-03-21,5000000,1786907,Active
U14804092011PTC578389,Prime Plastics Trading Co Pvt Ltd,"Plot 242, Road, Lucknow, UP",Lucknow,UP,2011-03-12,2500000,1140786,Active
U96858242005PTC250485,Pioneer Electronics Exports Pvt Ltd,"Plot 85, Colony, Surat, GJ",Surat,GJ,2005-03-15,500000,212700,Dormant
U57349192021PTC406946,Vishwa Pharma Pvt Ltd,"Plot 21, Road, Kolkata, WB",Kolkata,WB,2021-06-04,10000000,9779089,Active
U57880242017PTC616226,Prime Agro Private Limited,"Plot 265, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2017-06-27,1000000,640803,Active
U88908292016PTC752147,Continental Steel Exports Pvt Ltd,"Plot 118, Estate, Bengaluru, KA",Bengaluru,KA,2016-06-24,100000,63706,Active
U87640292023PTC168957,Bharat Constructions Trading Co Pvt Ltd,"Plot 21, Colony, Bengaluru, KA",Bengaluru,KA,2023-03-02,500000,240390,Active
U73133092020PTC178853,Bharat Electronics Ventures Pvt Ltd,"Plot 393, MIDC, Lucknow, UP",Lucknow,UP,2020-10-22,5000000,2425822,Active
U24230242009PTC017368,Universal Plastics Ventures Pvt Ltd,"Plot 259, Road, Ahmedabad, GJ",Ahmedabad,GJ,2009-07-27,500000,361928,Active
U58546242018PTC917320,Shri Foods Trading Co Pvt Ltd,"Plot 220, MIDC, Surat, GJ",Surat,GJ,2018-08-26,2500000,1363406,Active
U88419072014PTC919357,Sagar Agro Enterprises Pvt Ltd,"Plot 97, Industrial Area, Delhi, DL",Delhi,DL,2014-12-24,100000,70459,Active
U23970242016PTC162298,Silver Constructions Trading Co Pvt Ltd,"Plot 130, Sector, Ahmedabad, GJ",Ahmedabad,GJ,2016-09-14,5000000,2779754,Active
U58524082010PTC586253,Sagar Pharma Enterprises Pvt Ltd,"Plot 158, Colony, Jaipur, RJ",Jaipur,RJ,2010-06-25,10000000,5786908,Active
U90481272022PTC730918,Vardhman Foods Pvt Ltd,"Plot 83, Estate, Pune, MH",Pune,MH,2022-11-01,100000,87627,Active
U14948072024PTC759688,Saraswati Plastics Enterprises Pvt Ltd,"Plot 365, Colony, Delhi, DL",Delhi,DL,2024-01-25,500000,374101,Active
U77608092021PTC732378,Global Electronics Private Limited,"Plot 346, Industrial Area, Lucknow, UP",Lucknow,UP,2021-06-08,10000000,3002010,Active
U21818272007PTC576290,Metro Foods Ventures Pvt Ltd,"Plot 287, Colony, Mumbai, MH",Mumbai,MH,2007-06-12,1000000,458406,Strike Off
U23954242021PTC585767,Om Plastics Enterprises Pvt Ltd,"Plot 175, Industrial Area, Ahmedabad, GJ",Ahmedabad,GJ,2021-09-09,5000000,4346015,Active
U99337272019PTC483101,Everest Electronics Ventures Pvt Ltd,"Plot 15, Estate, Pune, MH",Pune,MH,2019-02-09,100000,56787,Active
U11274242022PTC734862,Continental Infrastructure Private Limited,"Plot 148, Industrial Area, Surat, GJ",Surat,GJ,2022-07-22,10000000,8747522,Active
U36170192020PTC246270,Aditya Logistics Ventures Pvt Ltd,"Plot 136, MIDC, Kolkata, WB",Kolkata,WB,2020-04-07,500000,442717,Active
U74330092013PTC191756,Shakti Plastics Enterprises Pvt Ltd,"Plot 204, MIDC, Lucknow, UP",Lucknow,UP,2013-10-05,100000,66801,Active
U51373242019PTC722690,Shree Textiles Exports Pvt Ltd,"Plot 108, Estate, Surat, GJ",Surat,GJ,2019-10-04,1000000,553121,Active
U57962092015PTC192848,Vishwa Agro Private Limited,"Plot 215, Road, Lucknow, UP",Lucknow,UP,2015-06-12,2500000,1239351,Active
U11276292020PTC185187,Silver Pharma Private Limited,"Plot 323, Colony, Bengaluru, KA",Bengaluru,KA,2020-09-24,1000000,849733,Active
U53864072019PTC272388,Elite Traders Trading Co Pvt Ltd,"Plot 286, Sector, Delhi, DL",Delhi,DL,2019-06-01,2500000,962165,Active
U52610332016PTC705894,Ganga Pharma Ventures Pvt Ltd,"Plot 378, Estate, Chennai, TN",Chennai,TN,2016-02-13,5000000,2502832,Active
U19351092017PTC082955,National Traders Private Limited,"Plot 161, Sector, Lucknow, UP",Lucknow,UP,2017-11-10,10000000,4872306,Active
U31930082018PTC192819,Pioneer Textiles Private Limited,"Plot 373, MIDC, Jaipur, RJ",Jaipur,RJ,2018-11-09,10000000,7904878,Active
U17055082022PTC027646,Shakti Agro Trading Co Pvt Ltd,"Plot 392, Industrial Area, Jaipur, RJ",Jaipur,RJ,2022-02-09,5000000,2043460,Active
U71235272020PTC913204,Sagar Infrastructure Trading Co Pvt Ltd,"Plot 228, MIDC, Pune, MH",Pune,MH,2020-12-18,500000,356790,Active
U39770082022PTC843798,Om Pharma Enterprises Pvt Ltd,"Plot 188, Estate, Jaipur, RJ",Jaipur,RJ,2022-05-05,1000000,307389,Active
U49270082020PTC009577,Shakti Agro Ventures Pvt Ltd,"Plot 150, Colony, Jaipur, RJ",Jaipur,RJ,2020-04-26,100000,68374,Active
U65343332007PTC655699,Global Plastics Ventures Pvt Ltd,"Plot 314, Road, Chennai, TN",Chennai,TN,2007-11-09,1000000,753919,Active
U52027082011PTC020338,Shree Chemicals Pvt Ltd,"Plot 145, Sector, Jaipur, RJ",Jaipur,RJ,2011-03-23,2500000,2022437,Active
U70776082016PTC730790,Vishal Textiles Enterprises Pvt Ltd,"Plot 42, MIDC, Jaipur, RJ",Jaipur,RJ,2016-01-09,2500000,874923,Active
U97294072021PTC218573,Vishwa Agro Exports Pvt Ltd,"Plot 160, Sector, Delhi, DL",Delhi,DL,2021-03-21,10000000,3295301,Dormant
U97385272006PTC228368,Jai Logistics Exports Pvt Ltd,"Plot 223, Sector, Pune, MH",Pune,MH,2006-01-06,1000000,709287,Active
U58679092009PTC808240,Om Logistics Private Limited,"Plot 256, Industrial Area, Lucknow, UP",Lucknow,UP,2009-11-20,1000000,951594,Strike Off
U67503242016PTC768805,Universal Textiles Exports Pvt Ltd,"Plot 194, Sector, Surat, GJ",Surat,GJ,2016-12-05,1000000,929064,Active
U81253092010PTC364553,Royal Foods Industries Pvt Ltd,"Plot 141, Colony, Lucknow, UP",Lucknow,UP,2010-09-06,100000,67179,Active
U57720272024PTC813713,Laxmi Logistics Enterprises Pvt Ltd,"Plot 370, Industrial Area, Mumbai, MH",Mumbai,MH,2024-11-18,2500000,1082271,Active
U22943082011PTC033363,Krishna Constructions Ventures Pvt Ltd,"Plot 199, Road, Jaipur, RJ",Jaipur,RJ,2011-08-17,5000000,3954599,Active
U20480192020PTC490796,Vishal Constructions Pvt Ltd,"Plot 185, Colony, Kolkata, WB",Kolkata,WB,2020-12-14,1000000,855974,Active
U34832242017PTC202501,Ganga Constructions Private Limited,"Plot 292, Road, Surat, GJ",Surat,GJ,2017-03-18,10000000,6906991,Active
U56179092019PTC946325,Royal Plastics Enterprises Pvt Ltd,"Plot 191, Estate, Lucknow, UP",Lucknow,UP,2019-11-14,10000000,5264156,Active
U68654272019PTC416380,Shree Foods Pvt Ltd,"Plot 146, Colony, Pune, MH",Pune,MH,2019-01-17,500000,497694,Active
U77013332022PTC583348,Krishna Electronics Private Limited,"Plot 49, Industrial Area, Chennai, TN",Chennai,TN,2022-08-12,500000,198442,Active
U84588092017PTC962469,Universal Foods Pvt Ltd,"Plot 371, Sector, Lucknow, UP",Lucknow,UP,2017-08-06,2500000,2194984,Active
U20286092017PTC818018,Shri Traders Enterprises Pvt Ltd,"Plot 223, Estate, Lucknow, UP",Lucknow,UP,2017-02-28,500000,411687,Active
U52838092009PTC526807,Balaji Logistics Private Limited,"Plot 26, Road, Lucknow, UP",Lucknow,UP,2009-12-13,2500000,2067470,Active
U20819292015PTC498970,Krishna Foods Pvt Ltd,"Plot 281, Estate, Bengaluru, KA",Bengaluru,KA,2015-05-03,2500000,1628190,Active
U35703242023PTC588427,Laxmi Foods Trading Co Pvt Ltd,"Plot 127, MIDC, Ahmedabad, GJ",Ahmedabad,GJ,2023-02-09,2500000,1315970,Dormant
U87840272016PTC687248,Shree Infrastructure Private Limited,"Plot 180, Colony, Pune, MH",Pune,MH,2016-08-20,500000,304162,Dormant
U17148072008PTC254855,Laxmi Chemicals Ventures Pvt Ltd,"Plot 148, Industrial Area, Delhi, DL",Delhi,DL,2008-06-23,100000,51358,Active
U73311332022PTC653307,Aditya Chemicals Exports Pvt Ltd,"Plot 358, Road, Chennai, TN",Chennai,TN,2022-01-13,5000000,4671141,Active
U16957092013PTC487547,Saraswati Textiles Pvt Ltd,"Plot 199, Road, Lucknow, UP",Lucknow,UP,2013-05-22,10000000,5521533,Active
U51347242008PTC508206,Pioneer Electronics Trading Co Pvt Ltd,"Plot 46, MIDC, Surat, GJ",Surat,GJ,2008-04-17,2500000,1731203,Active
U55453292005PTC717553,Elite Traders Exports Pvt Ltd,"Plot 155, MIDC, Bengaluru, KA",Bengaluru,KA,2005-09-09,100000,73805,Active
U60096292007PTC546013,Saraswati Constructions Private Limited,"Plot 214, MIDC, Bengaluru, KA",Bengaluru,KA,2007-10-05,2500000,2448440,Dormant
U99659092022PTC838971,Universal Chemicals Enterprises Pvt Ltd,"Plot 353, Road, Lucknow, UP",Lucknow,UP,2022-09-05,2500000,2492450,Strike Off
U51771292005PTC922886,Silver Agro Enterprises Pvt Ltd,"Plot 227, Road, Bengaluru, KA",Bengaluru,KA,2005-11-24,1000000,406369,Active
U40432192024PTC242130,Vardhman Textiles Enterprises Pvt Ltd,"Plot 41, Road, Kolkata, WB",Kolkata,WB,2024-08-05,5000000,4461483,Active
U39658292011PTC033796,Silver Textiles Enterprises Pvt Ltd,"Plot 212, MIDC, Bengaluru, KA",Bengaluru,KA,2011-12-22,500000,415221,Active
U89682242006PTC771052,Continental Agro Exports Pvt Ltd,"Plot 161, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2006-10-24,5000000,3578320,Active
U80499192021PTC414829,Aditya Textiles Trading Co Pvt Ltd,"Plot 199, Colony, Kolkata, WB",Kolkata,WB,2021-11-02,500000,251912,Active
U77760092006PTC947573,Bharat Pharma Ventures Pvt Ltd,"Plot 331, Estate, Lucknow, UP",Lucknow,UP,2006-02-24,5000000,1896100,Active
U26193272010PTC095621,Jai Foods Industries Pvt Ltd,"Plot 325, Sector, Pune, MH",Pune,MH,2010-02-17,10000000,5688611,Active
U84120292015PTC913630,Vardhman Chemicals Private Limited,"Plot 75, MIDC, Bengaluru, KA",Bengaluru,KA,2015-12-02,2500000,1289108,Active
U70115332005PTC521801,Pioneer Pharma Trading Co Pvt Ltd,"Plot 3, Colony, Chennai, TN",Chennai,TN,2005-08-08,500000,356101,Active
U92396332024PTC584633,Continental Logistics Pvt Ltd,"Plot 95, MIDC, Chennai, TN",Chennai,TN,2024-01-21,1000000,325704,Active
U64651272008PTC186907,National Constructions Enterprises Pvt Ltd,"Plot 313, Road, Mumbai, MH",Mumbai,MH,2008-12-23,5000000,3502989,Active
U18869272017PTC795285,Silver Plastics Pvt Ltd,"Plot 150, Estate, Pune, MH",Pune,MH,2017-03-04,10000000,9015855,Active
U65974092014PTC638420,Pioneer Traders Enterprises Pvt Ltd,"Plot 270, Colony, Lucknow, UP",Lucknow,UP,2014-10-12,500000,365001,Active
U25493192005PTC025152,Golden Constructions Ventures Pvt Ltd,"Plot 61, Road, Kolkata, WB",Kolkata,WB,2005-04-26,5000000,4996454,Active
U18891332013PTC322723,Metro Plastics Trading Co Pvt Ltd,"Plot 166, Industrial Area, Chennai, TN",Chennai,TN,2013-02-22,1000000,538953,Active
U72193272020PTC835982,Shri Constructions Private Limited,"Plot 247, MIDC, Pune, MH",Pune,MH,2020-11-15,5000000,4635750,Active
U99848192023PTC347833,Vishal Traders Pvt Ltd,"Plot 77, Sector, Kolkata, WB",Kolkata,WB,2023-01-11,2500000,1846393,Active
U58704082012PTC473859,Ganga Infrastructure Private Limited,"Plot 58, Sector, Jaipur, RJ",Jaipur,RJ,2012-01-25,500000,469673,Active
U50679082021PTC813206,Royal Chemicals Ventures Pvt Ltd,"Plot 51, Colony, Jaipur, RJ",Jaipur,RJ,2021-11-05,500000,403599,Active
U71194072015PTC932379,Shri Steel Trading Co Pvt Ltd,"Plot 393, Road, Delhi, DL",Delhi,DL,2015-12-10,100000,70429,Active
U45737082008PTC156575,National Infrastructure Pvt Ltd,"Plot 8, Colony, Jaipur, RJ",Jaipur,RJ,2008-09-17,100000,44460,Active
U90381072014PTC935585,Royal Plastics Industries Pvt Ltd,"Plot 26, MIDC, Delhi, DL",Delhi,DL,2014-01-16,10000000,3353192,Active
U90781092019PTC372900,Metro Traders Ventures Pvt Ltd,"Plot 102, Road, Lucknow, UP",Lucknow,UP,2019-11-26,5000000,1774909,Dormant
U40368082020PTC993472,Global Chemicals Ventures Pvt Ltd,"Plot 316, Sector, Jaipur, RJ",Jaipur,RJ,2020-06-13,500000,394865,Active
U23491292021PTC425393,Continental Foods Ventures Pvt Ltd,"Plot 55, Sector, Bengaluru, KA",Bengaluru,KA,2021-09-21,100000,85470,Active
U60307292020PTC069269,Royal Logistics Ventures Pvt Ltd,"Plot 356, Colony, Bengaluru, KA",Bengaluru,KA,2020-07-26,2500000,1742619,Active
U24984092020PTC620929,Laxmi Pharma Enterprises Pvt Ltd,"Plot 285, Industrial Area, Lucknow, UP",Lucknow,UP,2020-08-06,1000000,969118,Active
U38522272007PTC856722,Bharat Constructions Private Limited,"Plot 232, Colony, Mumbai, MH",Mumbai,MH,2007-05-13,5000000,3522759,Active
U55123332018PTC093625,Ganga Agro Ventures Pvt Ltd,"Plot 66, Sector, Chennai, TN",Chennai,TN,2018-01-12,5000000,4887648,Active
U66585272012PTC736334,Krishna Agro Exports Pvt Ltd,"Plot 163, Road, Mumbai, MH",Mumbai,MH,2012-07-13,2500000,1511582,Active
U30220272018PTC302484,Pioneer Constructions Private Limited,"Plot 69, Industrial Area, Pune, MH",Pune,MH,2018-02-21,100000,40079,Active
U89223242019PTC975502,Silver Electronics Private Limited,"Plot 233, Colony, Ahmedabad, GJ",Ahmedabad,GJ,2019-07-18,2500000,1423250,Active
U45291192021PTC430795,Orion Plastics Trading Co Pvt Ltd,"Plot 188, Industrial Area, Kolkata, WB",Kolkata,WB,2021-01-19,2500000,1983544,Active
U77757332019PTC082035,Ganga Electronics Pvt Ltd,"Plot 126, Estate, Chennai, TN",Chennai,TN,2019-11-24,10000000,9722877,Active
U53452082023PTC441468,Elite Infrastructure Enterprises Pvt Ltd,"Plot 86, Industrial Area, Jaipur, RJ",Jaipur,RJ,2023-12-20,10000000,5128495,Active
U20074292021PTC892806,Vishal Infrastructure Enterprises Pvt Ltd,"Plot 68, Colony, Bengaluru, KA",Bengaluru,KA,2021-05-09,1000000,309942,Active
U40958292013PTC508474,National Plastics Ventures Pvt Ltd,"Plot 17, Sector, Bengaluru, KA",Bengaluru,KA,2013-02-05,5000000,4768796,Active
U85727292011PTC770034,Continental Traders Pvt Ltd,"Plot 329, Sector, Bengaluru, KA",Bengaluru,KA,2011-02-02,500000,312405,Active
U44422242020PTC152201,Ganga Agro Pvt Ltd,"Plot 148, Estate, Ahmedabad, GJ",Ahmedabad,GJ,2020-07-22,1000000,973233,Active
U45432332015PTC280062,Vishal Steel Enterprises Pvt Ltd,"Plot 336, Colony, Chennai, TN",Chennai,TN,2015-07-15,10000000,8243636,Active
U81776292015PTC011092,Vardhman Textiles Ventures Pvt Ltd,"Plot 35, Industrial Area, Bengaluru, KA",Bengaluru,KA,2015-07-04,5000000,1863675,Active
U89257072007PTC136218,Sunrise Constructions Ventures Pvt Ltd,"Plot 332, Colony, Delhi, DL",Delhi,DL,2007-03-04,10000000,4289840,Active
U43729242015PTC169834,Shakti Steel Enterprises Pvt Ltd,"Plot 398, Industrial Area, Ahmedabad, GJ",Ahmedabad,GJ,2015-07-13,1000000,997170,Active
U28857082008PTC566894,Shakti Agro Private Limited,"Plot 315, Road, Jaipur, RJ",Jaipur,RJ,2008-02-15,10000000,4812973,Active
U14959292005PTC696890,Sunrise Infrastructure Private Limited,"Plot 359, Sector, Bengaluru, KA",Bengaluru,KA,2005-07-19,100000,66076,Dormant
U39602072022PTC003469,Sunrise Foods Ventures Pvt Ltd,"Plot 400, Estate, Delhi, DL",Delhi,DL,2022-02-19,5000000,4772647,Active
U80074072016PTC894795,Royal Steel Ventures Pvt Ltd,"Plot 236, Sector, Delhi, DL",Delhi,DL,2016-11-07,500000,344066,Strike Off
U87718192005PTC250070,Vishwa Agro Pvt Ltd,"Plot 277, Road, Kolkata, WB",Kolkata,WB,2005-05-16,5000000,4877338,Active
U37745242008PTC846310,Saraswati Constructions Trading Co Pvt Ltd,"Plot 235, Road, Ahmedabad, GJ",Ahmedabad,GJ,2008-09-05,10000000,7055419,Dormant
U22752272014PTC478345,Krishna Steel Ventures Pvt Ltd,"Plot 55, Industrial Area, Mumbai, MH",Mumbai,MH,2014-08-20,5000000,2272003,Active
U28000092022PTC337212,Continental Logistics Ventures Pvt Ltd,"Plot 24, Colony, Lucknow, UP",Lucknow,UP,2022-03-11,100000,38452,Active
U27481092006PTC104824,Vishal Constructions Trading Co Pvt Ltd,"Plot 193, MIDC, Lucknow, UP",Lucknow,UP,2006-01-16,100000,30444,Active
U37021082009PTC150039,Golden Agro Private Limited,"Plot 90, Colony, Jaipur, RJ",Jaipur,RJ,2009-12-02,5000000,2130001,Active
U22541072021PTC648986,Global Pharma Ventures Pvt Ltd,"Plot 321, Road, Delhi, DL",Delhi,DL,2021-04-09,100000,43560,Active
U90847332015PTC844265,Everest Pharma Pvt Ltd,"Plot 54, Road, Chennai, TN",Chennai,TN,2015-01-18,500000,205315,Active
U64927092015PTC208406,Aditya Constructions Enterprises Pvt Ltd,"Plot 118, Industrial Area, Lucknow, UP",Lucknow,UP,2015-06-08,100000,46598,Active
U28997272018PTC226666,Orion Electronics Industries Pvt Ltd,"Plot 92, Estate, Mumbai, MH",Mumbai,MH,2018-06-05,2500000,2009687,Active
U70106072019PTC438540,National Constructions Trading Co Pvt Ltd,"Plot 88, Colony, Delhi, DL",Delhi,DL,2019-09-28,500000,180266,Active
