CIN,Company_Name,ROC_Code,Registration_Number,Company_Category,Company_SubCategory,Class_of_Company,Date_of_Incorporation,Registered_Address,Registered_State,Registered_Pincode,Email_Id,Whether_Listed,Company_Status,Authorized_Capital_Rs,Paid_up_Capital_Rs,Date_of_Last_AGM,Date_of_Balance_Sheet,Industrial_Activity_Code,Industrial_Activity_Description,Synthetic_Ring_ID,Synthetic_Shell_Ground_Truth
U52290WB2007PTC100978,Infinity Exports Private Limited,ROC-KOLKATA,100979,Company limited by Shares,Non-govt company,Private,02/06/2007,"750, Plaza, Skyline Colony, Kolkata, West Bengal - 700013",West Bengal,700013,infinity66@gmail.com,Unlisted,Active,2000000,1249281,22/10/2025,31/03/2026,52290,Other transportation support activities,,No
U46310DL2010PTC100430,Vaibhav Investments Private Limited,ROC-DELHI,100431,Company limited by Shares,Non-govt company,Private,14/02/2010,"285, Tower, Vishal Lane, New Delhi, Delhi - 110018",Delhi,110018,vaibhav26@gmail.com,Unlisted,Active,5000000,3640165,18/09/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U82990RJ2008PTC100942,Trident Impex Private Limited,ROC-JAIPUR,100943,Company limited by Shares,Non-govt company,Private,06/07/2008,"298, Mall, Apex Lane, Jaipur, Rajasthan - 302068",Rajasthan,302068,trident36@gmail.com,Unlisted,Dormant,100000,86200,28/12/2024,31/03/2024,82990,Other business support activities n.e.c.,,No
U68100TG2022PTC100463,Vaibhav Chemicals Private Limited,ROC-HYDERABAD,100464,Company limited by Shares,Non-govt company,Private,17/03/2022,"163, Mall, Royal Street, Hyderabad, Telangana - 500078",Telangana,500078,vaibhav51@gmail.com,Unlisted,Active,200000,166296,04/07/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U68100TG2022PTC100310,Vikram Impex Private Limited,ROC-HYDERABAD,100311,Company limited by Shares,Non-govt company,Private,19/10/2022,"567, Complex, Nova Nagar, Hyderabad, Telangana - 500069",Telangana,500069,vikram49@gmail.com,Unlisted,Active,100000,88096,05/11/2025,31/03/2026,68100,Real estate activities with own/leased property,,No
U70200WB2010PTC100698,Elite Developers Private Limited,ROC-KOLKATA,100699,Company limited by Shares,Non-govt company,Private,14/08/2010,"152, Plaza, Global Marg, Kolkata, West Bengal - 700080",West Bengal,700080,elite27@gmail.com,Unlisted,Active,2000000,1890570,15/10/2025,31/03/2025,70200,Management consultancy activities,,No
U47190TN2023PTC100061,Emerald Logistics Private Limited,ROC-CHENNAI,100062,Company limited by Shares,Non-govt company,Private,13/01/2023,"470, Plaza, Om Layout, Chennai, Tamil Nadu - 600061",Tamil Nadu,600061,emerald49@rediffmail.com,Unlisted,Active,50000000,100000,22/09/2020,31/03/2020,47190,Other retail sale in non-specialized stores,RING-09,Yes
U10610TG2024PTC100885,Krishna Textiles Private Limited,ROC-HYDERABAD,100886,Company limited by Shares,Non-govt company,Private,09/03/2024,"845, House, Royal Road, Hyderabad, Telangana - 500086",Telangana,500086,krishna98@gmail.com,Unlisted,Active,5000000,2696703,12/12/2025,31/03/2026,10610,Manufacture of grain mill products,,No
U41001PB2007PTC100596,Emerald Ventures Private Limited,ROC-CHANDIGARH,100597,Company limited by Shares,Non-govt company,Private,29/08/2007,"673, Mall, Everest Nagar, Chandigarh, Punjab - 160027",Punjab,160027,emerald50@gmail.com,Unlisted,Active - Non-compliant,200000,129411,23/10/2025,31/03/2025,41001,Construction of residential/commercial buildings,,No
U41001DL2025PTC100768,Vishwa Distributors Private Limited,ROC-DELHI,100769,Company limited by Shares,Non-govt company,Private,29/06/2025,"908, Plaza, Infinity Nagar, New Delhi, Delhi - 110048",Delhi,110048,vishwa71@gmail.com,Unlisted,Active,1000000,724700,14/07/2026,31/03/2026,41001,Construction of residential/commercial buildings,,No
U70200HR2024PTC100650,Rudra Traders Private Limited,ROC-CHANDIGARH,100651,Company limited by Shares,Non-govt company,Private,19/04/2024,"679, Mall, Diamond Chowk, Gurugram, Haryana - 122018",Haryana,122018,rudra69@gmail.com,Unlisted,Dormant,1000000,876631,21/07/2024,31/03/2024,70200,Management consultancy activities,,No
U82990WB2021PTC100651,Golden Consultancy Private Limited,ROC-KOLKATA,100652,Company limited by Shares,Non-govt company,Private,15/05/2021,"140, Plaza, Prime Colony, Kolkata, West Bengal - 700061",West Bengal,700061,golden83@gmail.com,Unlisted,Active,200000,119897,01/08/2025,31/03/2026,82990,Other business support activities n.e.c.,,No
U74999HR2013PLC100866,Silver Technologies Limited,ROC-CHANDIGARH,100867,Company limited by Shares,Non-govt company,Public,07/08/2013,"761, Complex, Ganesh Road, Gurugram, Haryana - 122020",Haryana,122020,silver79@gmail.com,Unlisted,Active,2000000,1223054,13/07/2025,31/03/2025,74999,Other business support service activities n.e.c.,,No
U64990UP2022PTC100669,Nova Pharma Private Limited,ROC-KANPUR,100670,Company limited by Shares,Non-govt company,Private,11/04/2022,"682, Plaza, Bharat Layout, Kanpur, Uttar Pradesh - 208049",Uttar Pradesh,208049,nova95@gmail.com,Unlisted,Active,100000,77814,28/08/2024,31/03/2024,64990,Other financial service activities n.e.c.,,No
U64990KA2014PLC100299,Emerald Systems Limited,ROC-BANGALORE,100300,Company limited by Shares,Non-govt company,Public,15/05/2014,"895, Complex, Everest Marg, Bengaluru, Karnataka - 560073",Karnataka,560073,emerald94@gmail.com,Unlisted,Active,1000000,724985,19/08/2025,31/03/2025,64990,Other financial service activities n.e.c.,,No
U10610TG2017PTC100690,Superior Infra Private Limited,ROC-HYDERABAD,100691,Company limited by Shares,Non-govt company,Private,13/03/2017,"62, Tower, Radiant Lane, Hyderabad, Telangana - 500027",Telangana,500027,superior52@gmail.com,Unlisted,Active,100000,50498,01/09/2024,31/03/2024,10610,Manufacture of grain mill products,,No
U70200DL2016PTC100315,Sai Finance Private Limited,ROC-DELHI,100316,Company limited by Shares,Non-govt company,Private,25/11/2016,"675, Mall, Vantage Nagar, New Delhi, Delhi - 110094",Delhi,110094,sai34@gmail.com,Unlisted,Active,5000000,4378599,22/11/2025,31/03/2025,70200,Management consultancy activities,,No
U47190WB2018PTC100311,Elite Technologies Private Limited,ROC-KOLKATA,100312,Company limited by Shares,Non-govt company,Private,13/03/2018,"199, House, Nova Colony, Kolkata, West Bengal - 700075",West Bengal,700075,elite72@gmail.com,Unlisted,Dormant,1000000,942499,06/11/2025,31/03/2025,47190,Other retail sale in non-specialized stores,,No
U68100RJ2006PTC100362,Krishna Foods Private Limited,ROC-JAIPUR,100363,Company limited by Shares,Non-govt company,Private,23/07/2006,"772, Heights, Infinity Road, Jaipur, Rajasthan - 302081",Rajasthan,302081,krishna50@gmail.com,Unlisted,Active,100000,91492,11/09/2025,31/03/2025,68100,Real estate activities with own/leased property,,No
U70200MH2022PTC100480,Elite Systems Private Limited,ROC-PUNE,100481,Company limited by Shares,Non-govt company,Private,09/04/2022,"4, Heights, Continental Layout, Pune, Maharashtra - 411081",Maharashtra,411081,elite28@gmail.com,Unlisted,Active,5000000,2857708,21/08/2025,31/03/2026,70200,Management consultancy activities,,No
U52290TN2023PTC100111,Anmol Ventures Private Limited,ROC-CHENNAI,100112,Company limited by Shares,Non-govt company,Private,22/05/2023,"387, Plaza, Royal Lane, Chennai, Tamil Nadu - 600085",Tamil Nadu,600085,anmol55@rediffmail.com,Unlisted,Active - Non-compliant,20000000,150000,,,52290,Other transportation support activities,RING-16,Yes
U74999WB2016PLC100990,Vaibhav Enterprises Limited,ROC-KOLKATA,100991,Company limited by Shares,Non-govt company,Public,15/08/2016,"919, Heights, Lakshmi Lane, Kolkata, West Bengal - 700031",West Bengal,700031,vaibhav19@gmail.com,Unlisted,Active - Non-compliant,5000000,4654005,14/12/2025,31/03/2025,74999,Other business support service activities n.e.c.,,No
U64990DL2019PTC100487,Global Enterprises Private Limited,ROC-DELHI,100488,Company limited by Shares,Non-govt company,Private,27/06/2019,"23, Arcade, Ashirwad Marg, New Delhi, Delhi - 110025",Delhi,110025,global48@gmail.com,Unlisted,Active,1000000,870923,21/10/2025,31/03/2025,64990,Other financial service activities n.e.c.,,No
U47190TN2010PTC100364,Sunrise Systems Private Limited,ROC-CHENNAI,100365,Company limited by Shares,Non-govt company,Private,25/01/2010,"894, Chambers, Aastha Lane, Chennai, Tamil Nadu - 600098",Tamil Nadu,600098,sunrise19@gmail.com,Unlisted,Active,500000,441550,27/11/2025,31/03/2025,47190,Other retail sale in non-specialized stores,,No
U82990TN2006PLC100255,Vishwa Overseas Limited,ROC-CHENNAI,100256,Company limited by Shares,Non-govt company,Public,10/09/2006,"824, Chambers, Shakti Road, Chennai, Tamil Nadu - 600084",Tamil Nadu,600084,vishwa22@gmail.com,Unlisted,Active,2000000,1214080,13/11/2025,31/03/2025,82990,Other business support activities n.e.c.,,No
U64990TN2021PLC100260,Everest Industries Limited,ROC-CHENNAI,100261,Company limited by Shares,Non-govt company,Public,21/12/2021,"901, House, Krishna Chowk, Chennai, Tamil Nadu - 600020",Tamil Nadu,600020,everest72@gmail.com,Unlisted,Active,500000,302596,11/12/2025,31/03/2025,64990,Other financial service activities n.e.c.,,No
U62011UP2009PTC100803,Vishwa Traders Private Limited,ROC-KANPUR,100804,Company limited by Shares,Non-govt company,Private,30/10/2009,"424, House, Rudra Chowk, Kanpur, Uttar Pradesh - 208082",Uttar Pradesh,208082,vishwa68@gmail.com,Unlisted,Active,2000000,1262264,21/08/2025,31/03/2026,62011,Computer programming activities,,No
U52290TG2022PLC100678,Zenith Distributors Limited,ROC-HYDERABAD,100679,Company limited by Shares,Non-govt company,Public,01/06/2022,"175, Heights, Ashirwad Layout, Hyderabad, Telangana - 500052",Telangana,500052,zenith91@gmail.com,Unlisted,Active - Non-compliant,500000,404813,15/09/2024,31/03/2024,52290,Other transportation support activities,,No
U46900GJ2014PTC100495,Radiant Pharma Private Limited,ROC-AHMEDABAD,100496,Company limited by Shares,Non-govt company,Private,24/08/2014,"429, Mall, Krishna Chowk, Ahmedabad, Gujarat - 380065",Gujarat,380065,radiant81@gmail.com,Unlisted,Active,5000000,3812938,04/11/2024,31/03/2024,46900,Wholesale trade (non-specialized),,No
U74999MH2014PTC100671,Universal Investments Private Limited,ROC-MUMBAI,100672,Company limited by Shares,Non-govt company,Private,05/08/2014,"135, Plaza, Infinity Layout, Mumbai, Maharashtra - 400045",Maharashtra,400045,universal95@gmail.com,Unlisted,Active,5000000,2807188,09/09/2025,31/03/2025,74999,Other business support service activities n.e.c.,,No
U68100GJ2020PTC100378,Sai Ventures Private Limited,ROC-AHMEDABAD,100379,Company limited by Shares,Non-govt company,Private,02/09/2020,"259, Mall, Diamond Chowk, Ahmedabad, Gujarat - 380038",Gujarat,380038,sai35@gmail.com,Unlisted,Active,1000000,566608,07/08/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U62011TG2018PTC100527,Continental Impex Private Limited,ROC-HYDERABAD,100528,Company limited by Shares,Non-govt company,Private,02/04/2018,"620, Mall, Shree Road, Hyderabad, Telangana - 500061",Telangana,500061,continental85@gmail.com,Unlisted,Active,2000000,1287662,21/09/2025,31/03/2026,62011,Computer programming activities,,No
U63990DL2005PTC100846,Om Investments Private Limited,ROC-DELHI,100847,Company limited by Shares,Non-govt company,Private,17/05/2005,"14, Tower, Suvidha Nagar, New Delhi, Delhi - 110090",Delhi,110090,om14@gmail.com,Unlisted,Active,200000,158965,21/09/2025,31/03/2026,63990,Other information service activities n.e.c.,,No
U62011KA2005PTC100138,Vishwa Services Private Limited,ROC-BANGALORE,100139,Company limited by Shares,Non-govt company,Private,09/06/2005,"515, Heights, Elite Chowk, Bengaluru, Karnataka - 560033",Karnataka,560033,vishwa13@gmail.com,Unlisted,Active,5000000,3397780,19/09/2025,31/03/2025,62011,Computer programming activities,,No
U46310PB2018PTC100356,Ashirwad Developers Private Limited,ROC-CHANDIGARH,100357,Company limited by Shares,Non-govt company,Private,12/11/2018,"752, Complex, Platinum Colony, Chandigarh, Punjab - 160033",Punjab,160033,ashirwad40@gmail.com,Unlisted,Active,2000000,1920594,24/07/2025,31/03/2025,46310,Wholesale of agricultural raw materials,,No
U70200RJ2014PTC100366,Emerald Solutions Private Limited,ROC-JAIPUR,100367,Company limited by Shares,Non-govt company,Private,25/11/2014,"302, Chambers, Infinity Street, Jaipur, Rajasthan - 302086",Rajasthan,302086,emerald45@gmail.com,Unlisted,Active,500000,274453,07/10/2024,31/03/2024,70200,Management consultancy activities,,No
U62011KA2010PLC100943,Skyline Consultancy Limited,ROC-BANGALORE,100944,Company limited by Shares,Non-govt company,Public,02/11/2010,"528, House, Diamond Colony, Bengaluru, Karnataka - 560018",Karnataka,560018,skyline81@gmail.com,Unlisted,Active,1000000,631717,17/10/2025,31/03/2025,62011,Computer programming activities,,No
U46310TG2011PLC100750,Vishal Industries Limited,ROC-HYDERABAD,100751,Company limited by Shares,Non-govt company,Public,04/11/2011,"73, Chambers, Everest Road, Hyderabad, Telangana - 500012",Telangana,500012,vishal36@gmail.com,Unlisted,Active,5000000,4153337,19/12/2025,31/03/2025,46310,Wholesale of agricultural raw materials,,No
U62011RJ2020PTC100949,Krishna Retail Private Limited,ROC-JAIPUR,100950,Company limited by Shares,Non-govt company,Private,25/03/2020,"781, Chambers, Aastha Nagar, Jaipur, Rajasthan - 302010",Rajasthan,302010,krishna59@gmail.com,Unlisted,Active,5000000,3967901,20/07/2025,31/03/2025,62011,Computer programming activities,,No
U45201KA2017PTC100830,Vikram Overseas Private Limited,ROC-BANGALORE,100831,Company limited by Shares,Non-govt company,Private,25/08/2017,"921, Heights, Pioneer Nagar, Bengaluru, Karnataka - 560024",Karnataka,560024,vikram70@gmail.com,Unlisted,Active,200000,137420,04/07/2026,31/03/2026,45201,Maintenance and repair of motor vehicles,,No
U14101WB2016PTC100657,Shakti Commodities Private Limited,ROC-KOLKATA,100658,Company limited by Shares,Non-govt company,Private,20/05/2016,"699, Mall, Radiant Chowk, Kolkata, West Bengal - 700089",West Bengal,700089,shakti99@gmail.com,Unlisted,Active,500000,267842,26/08/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U47190TG2016PTC100200,Diamond Systems Private Limited,ROC-HYDERABAD,100201,Company limited by Shares,Non-govt company,Private,27/04/2016,"85, Mall, Vardhan Marg, Hyderabad, Telangana - 500080",Telangana,500080,diamond61@gmail.com,Unlisted,Active,200000,143193,11/08/2026,31/03/2026,47190,Other retail sale in non-specialized stores,,No
U47190DL2018PTC100214,Vardhan Finance Private Limited,ROC-DELHI,100215,Company limited by Shares,Non-govt company,Private,08/05/2018,"899, Chambers, Superior Layout, New Delhi, Delhi - 110048",Delhi,110048,vardhan37@gmail.com,Unlisted,Active,500000,426316,16/07/2025,31/03/2026,47190,Other retail sale in non-specialized stores,,No
U68100MH2006PTC100409,Skyline Merchants Private Limited,ROC-PUNE,100410,Company limited by Shares,Non-govt company,Private,05/04/2006,"199, Plaza, Bharat Colony, Pune, Maharashtra - 411031",Maharashtra,411031,skyline85@gmail.com,Unlisted,Active,5000000,4276477,28/09/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U52290KA2006PTC100333,Horizon Foods Private Limited,ROC-BANGALORE,100334,Company limited by Shares,Non-govt company,Private,18/05/2006,"966, Heights, Rudra Nagar, Bengaluru, Karnataka - 560041",Karnataka,560041,horizon50@gmail.com,Unlisted,Active,1000000,821936,09/09/2025,31/03/2025,52290,Other transportation support activities,,No
U70200TN2015PTC100209,Everest Distributors Private Limited,ROC-CHENNAI,100210,Company limited by Shares,Non-govt company,Private,04/01/2015,"784, Arcade, Shree Layout, Chennai, Tamil Nadu - 600073",Tamil Nadu,600073,everest73@gmail.com,Unlisted,Active,5000000,2951740,20/07/2026,31/03/2026,70200,Management consultancy activities,,No
U10610MH2019PTC100614,Vaibhav Agro Private Limited,ROC-MUMBAI,100615,Company limited by Shares,Non-govt company,Private,10/12/2019,"798, House, Global Marg, Mumbai, Maharashtra - 400028",Maharashtra,400028,vaibhav52@gmail.com,Unlisted,Active,100000,94474,15/07/2026,31/03/2026,10610,Manufacture of grain mill products,,No
U74999TG2018PTC100079,Nova Finance Private Limited,ROC-HYDERABAD,100080,Company limited by Shares,Non-govt company,Private,27/10/2018,"895, Mall, Krishna Nagar, Hyderabad, Telangana - 500057",Telangana,500057,nova60@rediffmail.com,Unlisted,Active - Non-compliant,50000000,100000,,,74999,Other business support service activities n.e.c.,RING-12,Yes
U62011TG2022PTC100030,Vikram Agro Private Limited,ROC-HYDERABAD,100031,Company limited by Shares,Non-govt company,Private,05/10/2022,"336, Chambers, Platinum Colony, Hyderabad, Telangana - 500053",Telangana,500053,vikram48@rediffmail.com,Unlisted,Active - Non-compliant,20000000,100000,23/02/2022,31/03/2022,62011,Computer programming activities,RING-05,Yes
U46310MH2010PLC100536,Vaibhav Impex Limited,ROC-PUNE,100537,Company limited by Shares,Non-govt company,Public,26/02/2010,"932, Complex, Om Street, Pune, Maharashtra - 411078",Maharashtra,411078,vaibhav39@gmail.com,Unlisted,Active,5000000,3833857,13/10/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U10610UP2013PTC100696,Ganesh Overseas Private Limited,ROC-KANPUR,100697,Company limited by Shares,Non-govt company,Private,16/08/2013,"760, Mall, Vishal Marg, Kanpur, Uttar Pradesh - 208059",Uttar Pradesh,208059,ganesh11@gmail.com,Unlisted,Active,5000000,4069438,15/08/2025,31/03/2026,10610,Manufacture of grain mill products,,No
U63990GJ2016PLC100558,Radiant Realty Limited,ROC-AHMEDABAD,100559,Company limited by Shares,Non-govt company,Public,16/08/2016,"675, Complex, Golden Lane, Ahmedabad, Gujarat - 380090",Gujarat,380090,radiant54@gmail.com,Unlisted,Active,200000,186010,03/08/2025,31/03/2026,63990,Other information service activities n.e.c.,,No
U14101TN2013PLC100837,Pioneer Impex Limited,ROC-CHENNAI,100838,Company limited by Shares,Non-govt company,Public,09/07/2013,"187, Complex, National Road, Chennai, Tamil Nadu - 600043",Tamil Nadu,600043,pioneer41@gmail.com,Unlisted,Active,5000000,3411323,23/08/2024,31/03/2024,14101,Manufacture of wearing apparel,,No
U46310GJ2015PLC100597,Ganesh Solutions Limited,ROC-AHMEDABAD,100598,Company limited by Shares,Non-govt company,Public,17/10/2015,"455, Plaza, Zenith Layout, Ahmedabad, Gujarat - 380027",Gujarat,380027,ganesh62@gmail.com,Unlisted,Active,1000000,995818,12/11/2025,31/03/2026,46310,Wholesale of agricultural raw materials,,No
U10610WB2019PTC100166,Lakshmi Enterprises Private Limited,ROC-KOLKATA,100167,Company limited by Shares,Non-govt company,Private,11/01/2019,"803, Heights, Meridian Lane, Kolkata, West Bengal - 700033",West Bengal,700033,lakshmi76@gmail.com,Unlisted,Active,5000000,3252887,03/09/2024,31/03/2024,10610,Manufacture of grain mill products,,No
U64990UP2023PTC100919,National Chemicals Private Limited,ROC-KANPUR,100920,Company limited by Shares,Non-govt company,Private,24/02/2023,"266, Tower, Vikram Layout, Kanpur, Uttar Pradesh - 208061",Uttar Pradesh,208061,national68@gmail.com,Unlisted,Active,5000000,4077991,18/10/2025,31/03/2026,64990,Other financial service activities n.e.c.,,No
U64990MH2019PTC100496,Silver Industries Private Limited,ROC-MUMBAI,100497,Company limited by Shares,Non-govt company,Private,28/11/2019,"69, Complex, Ganesh Nagar, Mumbai, Maharashtra - 400024",Maharashtra,400024,silver81@gmail.com,Unlisted,Active,1000000,829930,16/09/2024,31/03/2024,64990,Other financial service activities n.e.c.,,No
U62011WB2021PTC100825,Vinayak Chemicals Private Limited,ROC-KOLKATA,100826,Company limited by Shares,Non-govt company,Private,08/11/2021,"301, House, Silver Street, Kolkata, West Bengal - 700045",West Bengal,700045,vinayak83@gmail.com,Unlisted,Active,2000000,1469261,17/10/2024,31/03/2024,62011,Computer programming activities,,No
U45201KA2023PLC100066,Sunrise Distributors Limited,ROC-BANGALORE,100067,Company limited by Shares,Non-govt company,Public,18/08/2023,"786, Complex, Vikram Chowk, Bengaluru, Karnataka - 560047",Karnataka,560047,sunrise17@rediffmail.com,Unlisted,Active - Non-compliant,20000000,200000,,,45201,Maintenance and repair of motor vehicles,RING-10,Yes
U68100TN2013PTC100142,Global Distributors Private Limited,ROC-CHENNAI,100143,Company limited by Shares,Non-govt company,Private,28/08/2013,"360, House, Global Layout, Chennai, Tamil Nadu - 600083",Tamil Nadu,600083,global93@gmail.com,Unlisted,Active,5000000,3549133,13/10/2025,31/03/2025,68100,Real estate activities with own/leased property,,No
U10610MH2007PLC100926,Trident Enterprises Limited,ROC-PUNE,100927,Company limited by Shares,Non-govt company,Public,02/02/2007,"795, Complex, Orion Layout, Pune, Maharashtra - 411082",Maharashtra,411082,trident77@gmail.com,Unlisted,Active,5000000,4758917,19/08/2025,31/03/2025,10610,Manufacture of grain mill products,,No
U46310UP2006PTC100828,Vaibhav Retail Private Limited,ROC-KANPUR,100829,Company limited by Shares,Non-govt company,Private,09/06/2006,"202, House, Vishwa Lane, Kanpur, Uttar Pradesh - 208095",Uttar Pradesh,208095,vaibhav27@gmail.com,Unlisted,Active,1000000,744118,13/07/2025,31/03/2025,46310,Wholesale of agricultural raw materials,,No
U47190HR2008PTC100656,Superior Overseas Private Limited,ROC-CHANDIGARH,100657,Company limited by Shares,Non-govt company,Private,28/03/2008,"901, House, Metro Lane, Gurugram, Haryana - 122010",Haryana,122010,superior98@gmail.com,Unlisted,Active,1000000,588073,19/09/2024,31/03/2024,47190,Other retail sale in non-specialized stores,,No
U68100HR2009PTC100332,Vertex Commodities Private Limited,ROC-CHANDIGARH,100333,Company limited by Shares,Non-govt company,Private,14/06/2009,"186, Chambers, Ganesh Street, Gurugram, Haryana - 122039",Haryana,122039,vertex25@gmail.com,Unlisted,Active,5000000,4456792,20/11/2024,31/03/2024,68100,Real estate activities with own/leased property,,No
U62011RJ2005PLC100665,Vikram Distributors Limited,ROC-JAIPUR,100666,Company limited by Shares,Non-govt company,Public,12/06/2005,"380, Complex, Shree Road, Jaipur, Rajasthan - 302093",Rajasthan,302093,vikram44@gmail.com,Unlisted,Active,1000000,746504,24/12/2025,31/03/2026,62011,Computer programming activities,,No
U82990GJ2025PTC100250,Emerald Infra Private Limited,ROC-AHMEDABAD,100251,Company limited by Shares,Non-govt company,Private,25/01/2025,"406, Mall, Meridian Road, Ahmedabad, Gujarat - 380025",Gujarat,380025,emerald28@gmail.com,Unlisted,Active,1000000,969541,04/12/2025,31/03/2026,82990,Other business support activities n.e.c.,,No
U62011PB2010PTC100908,Everest Trading Private Limited,ROC-CHANDIGARH,100909,Company limited by Shares,Non-govt company,Private,24/08/2010,"748, Mall, Aastha Layout, Chandigarh, Punjab - 160098",Punjab,160098,everest41@gmail.com,Unlisted,Active,2000000,1997091,09/07/2024,31/03/2024,62011,Computer programming activities,,No
U68100HR2012PTC100709,Rudra Constructions Private Limited,ROC-CHANDIGARH,100710,Company limited by Shares,Non-govt company,Private,22/11/2012,"301, Chambers, Ashirwad Street, Gurugram, Haryana - 122037",Haryana,122037,rudra60@gmail.com,Unlisted,Active,2000000,1031477,28/12/2025,31/03/2025,68100,Real estate activities with own/leased property,,No
U47190UP2014PTC100306,Capital Constructions Private Limited,ROC-KANPUR,100307,Company limited by Shares,Non-govt company,Private,07/08/2014,"670, Heights, Shree Nagar, Kanpur, Uttar Pradesh - 208037",Uttar Pradesh,208037,capital68@gmail.com,Unlisted,Active,200000,121377,13/07/2026,31/03/2026,47190,Other retail sale in non-specialized stores,,No
U70200HR2021PTC100735,Zenith Ventures Private Limited,ROC-CHANDIGARH,100736,Company limited by Shares,Non-govt company,Private,15/04/2021,"800, Chambers, Trident Road, Gurugram, Haryana - 122043",Haryana,122043,zenith96@gmail.com,Unlisted,Active,200000,132128,19/07/2026,31/03/2026,70200,Management consultancy activities,,No
U46900KA2019PTC100976,Sunrise Commodities Private Limited,ROC-BANGALORE,100977,Company limited by Shares,Non-govt company,Private,19/01/2019,"196, Chambers, Rudra Colony, Bengaluru, Karnataka - 560046",Karnataka,560046,sunrise11@gmail.com,Unlisted,Active,1000000,753930,05/08/2024,31/03/2024,46900,Wholesale trade (non-specialized),,No
U45201MH2025PTC100050,Anmol Merchants Private Limited,ROC-PUNE,100051,Company limited by Shares,Non-govt company,Private,07/05/2025,"896, Mall, Global Layout, Pune, Maharashtra - 411011",Maharashtra,411011,anmol26@rediffmail.com,Unlisted,Active,25000000,500000,,,45201,Maintenance and repair of motor vehicles,RING-07,Yes
U14101MH2011PTC100897,Zenith Technologies Private Limited,ROC-MUMBAI,100898,Company limited by Shares,Non-govt company,Private,20/03/2011,"220, Plaza, Capital Colony, Mumbai, Maharashtra - 400025",Maharashtra,400025,zenith42@gmail.com,Unlisted,Active,1000000,951275,01/11/2024,31/03/2024,14101,Manufacture of wearing apparel,,No
U74999PB2019PTC100003,Horizon Merchants Private Limited,ROC-CHANDIGARH,100004,Company limited by Shares,Non-govt company,Private,09/03/2019,"115, Plaza, Vishal Chowk, Chandigarh, Punjab - 160041",Punjab,160041,horizon41@rediffmail.com,Unlisted,Active - Non-compliant,25000000,100000,,,74999,Other business support service activities n.e.c.,RING-01,Yes
U46310WB2010PTC100545,Trident Investments Private Limited,ROC-KOLKATA,100546,Company limited by Shares,Non-govt company,Private,02/12/2010,"904, Chambers, Infinity Colony, Kolkata, West Bengal - 700088",West Bengal,700088,trident54@gmail.com,Unlisted,Active,500000,455760,01/10/2024,31/03/2024,46310,Wholesale of agricultural raw materials,,No
U45201TN2025PTC100351,Golden Merchants Private Limited,ROC-CHENNAI,100352,Company limited by Shares,Non-govt company,Private,27/01/2025,"965, House, Trident Layout, Chennai, Tamil Nadu - 600078",Tamil Nadu,600078,golden98@gmail.com,Unlisted,Active,1000000,671009,12/08/2026,31/03/2026,45201,Maintenance and repair of motor vehicles,,No
U70200RJ2015PTC100905,Suvidha Foods Private Limited,ROC-JAIPUR,100906,Company limited by Shares,Non-govt company,Private,04/09/2015,"493, Plaza, Superior Colony, Jaipur, Rajasthan - 302048",Rajasthan,302048,suvidha88@gmail.com,Unlisted,Active,1000000,722470,02/11/2025,31/03/2025,70200,Management consultancy activities,,No
U14101DL2021PTC100537,Shakti Consultancy Private Limited,ROC-DELHI,100538,Company limited by Shares,Non-govt company,Private,03/03/2021,"283, Heights, Sai Marg, New Delhi, Delhi - 110011",Delhi,110011,shakti13@gmail.com,Unlisted,Active,2000000,1080156,22/08/2025,31/03/2025,14101,Manufacture of wearing apparel,,No
U47190MH2011PTC100345,Superior Investments Private Limited,ROC-MUMBAI,100346,Company limited by Shares,Non-govt company,Private,21/01/2011,"289, Complex, Orion Road, Mumbai, Maharashtra - 400018",Maharashtra,400018,superior37@gmail.com,Unlisted,Active,100000,53890,08/07/2025,31/03/2025,47190,Other retail sale in non-specialized stores,,No
U62011MH2016PTC100995,Shakti Overseas Private Limited,ROC-MUMBAI,100996,Company limited by Shares,Non-govt company,Private,09/07/2016,"536, Plaza, Silver Street, Mumbai, Maharashtra - 400053",Maharashtra,400053,shakti27@gmail.com,Unlisted,Active,1000000,615823,03/09/2024,31/03/2024,62011,Computer programming activities,,No
U41001WB2013PTC100482,Vishwa Logistics Private Limited,ROC-KOLKATA,100483,Company limited by Shares,Non-govt company,Private,15/11/2013,"580, Plaza, Vantage Marg, Kolkata, West Bengal - 700026",West Bengal,700026,vishwa73@gmail.com,Unlisted,Active,500000,403270,11/09/2024,31/03/2024,41001,Construction of residential/commercial buildings,,No
U70200KA2005PTC100576,Shakti Distributors Private Limited,ROC-BANGALORE,100577,Company limited by Shares,Non-govt company,Private,31/10/2005,"467, Arcade, Ashirwad Road, Bengaluru, Karnataka - 560029",Karnataka,560029,shakti46@gmail.com,Unlisted,Active,2000000,1192444,06/12/2025,31/03/2026,70200,Management consultancy activities,,No
